Filename,Time (s),Memory (B),Path
ClpEventHandler.cpp,0.77,206356480,dependencies/osi_clp/Clp/src/ClpEventHandler.cpp
CoinModelUseful2.cpp,0.88,224149504,dependencies/osi_clp/CoinUtils/src/CoinModelUseful2.cpp
ClpFactorization.cpp,1.51,258228224,dependencies/osi_clp/Clp/src/ClpFactorization.cpp
CoinModelUseful.cpp,1.32,213221376,dependencies/osi_clp/CoinUtils/src/CoinModelUseful.cpp
CoinModel.cpp,3.15,285982720,dependencies/osi_clp/CoinUtils/src/CoinModel.cpp
ClpGubDynamicMatrix.cpp,2.19,277069824,dependencies/osi_clp/Clp/src/ClpGubDynamicMatrix.cpp
ClpGubMatrix.cpp,2.28,280543232,dependencies/osi_clp/Clp/src/ClpGubMatrix.cpp
timer.cpp,0.56,178241536,openMVG/system/timer.cpp
ParseDatabase_test.cpp,3.75,525467648,openMVG/exif/sensor_width_database/ParseDatabase_test.cpp
Linker/,0.02,21741568,Linker/
ClpHelperFunctions.cpp,1.03,233652224,dependencies/osi_clp/Clp/src/ClpHelperFunctions.cpp
CoinOslFactorization.cpp,1.10,229933056,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization.cpp
ClpInterior.cpp,1.21,247742464,dependencies/osi_clp/Clp/src/ClpInterior.cpp
CoinMpsIO.cpp,3.56,305528832,dependencies/osi_clp/CoinUtils/src/CoinMpsIO.cpp
feature.cpp,2.73,481984512,openMVG/features/feature.cpp
ClpLinearObjective.cpp,1.02,235290624,dependencies/osi_clp/Clp/src/ClpLinearObjective.cpp
ClpLsqr.cpp,1.07,252706816,dependencies/osi_clp/Clp/src/ClpLsqr.cpp
CoinOslFactorization2.cpp,2.41,259981312,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization2.cpp
nullspace.cpp,15.55,1039777792,openMVG/numeric/nullspace.cpp
ClpMatrixBase.cpp,0.99,234029056,dependencies/osi_clp/Clp/src/ClpMatrixBase.cpp
ClpMessage.cpp,0.56,185303040,dependencies/osi_clp/Clp/src/ClpMessage.cpp
triplet_finder_test.cpp,5.15,700481536,openMVG/graph/triplet_finder_test.cpp
Linker/,0.02,21741568,Linker/
CoinOslFactorization3.cpp,3.92,280674304,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization3.cpp
ClpModel.cpp,3.72,311017472,dependencies/osi_clp/Clp/src/ClpModel.cpp
AKAZE.cpp,12.36,1028784128,openMVG/features/akaze/AKAZE.cpp
ClpNetworkBasis.cpp,1.18,239550464,dependencies/osi_clp/Clp/src/ClpNetworkBasis.cpp
CoinPackedMatrix.cpp,3.31,279937024,dependencies/osi_clp/CoinUtils/src/CoinPackedMatrix.cpp
connectedComponent_test.cpp,7.33,769523712,openMVG/graph/connectedComponent_test.cpp
Linker/,0.02,21692416,Linker/
CoinPackedVector.cpp,1.20,231555072,dependencies/osi_clp/CoinUtils/src/CoinPackedVector.cpp
ClpNetworkMatrix.cpp,1.44,252477440,dependencies/osi_clp/Clp/src/ClpNetworkMatrix.cpp
liop_descriptor.cpp,6.42,670482432,openMVG/features/liop/liop_descriptor.cpp
ClpNode.cpp,1.25,246857728,dependencies/osi_clp/Clp/src/ClpNode.cpp
CoinPackedVectorBase.cpp,1.14,229441536,dependencies/osi_clp/CoinUtils/src/CoinPackedVectorBase.cpp
CoinParam.cpp,0.92,207601664,dependencies/osi_clp/CoinUtils/src/CoinParam.cpp
mser.cpp,2.44,405684224,openMVG/features/mser/mser.cpp
mser_region.cpp,0.36,150896640,openMVG/features/mser/mser_region.cpp
ClpNonLinearCost.cpp,1.40,252723200,dependencies/osi_clp/Clp/src/ClpNonLinearCost.cpp
CoinParamUtils.cpp,0.92,209108992,dependencies/osi_clp/CoinUtils/src/CoinParamUtils.cpp
ClpObjective.cpp,0.72,213712896,dependencies/osi_clp/Clp/src/ClpObjective.cpp
geodesy_test.cpp,2.85,494927872,openMVG/geodesy/geodesy_test.cpp
Linker/,0.02,21741568,Linker/
CoinPostsolveMatrix.cpp,0.76,222756864,dependencies/osi_clp/CoinUtils/src/CoinPostsolveMatrix.cpp
CoinPrePostsolveMatrix.cpp,0.85,226476032,dependencies/osi_clp/CoinUtils/src/CoinPrePostsolveMatrix.cpp
test_data_sets.cpp,5.69,679018496,openMVG/multiview/test_data_sets.cpp
svg_features.cpp,3.23,510279680,openMVG/features/svg_features.cpp
CoinPresolveDoubleton.cpp,1.21,241106944,dependencies/osi_clp/CoinUtils/src/CoinPresolveDoubleton.cpp
CoinPresolveDual.cpp,1.02,246546432,dependencies/osi_clp/CoinUtils/src/CoinPresolveDual.cpp
ClpPdcoBase.cpp,0.68,203636736,dependencies/osi_clp/Clp/src/ClpPdcoBase.cpp
ClpPackedMatrix.cpp,3.96,296583168,dependencies/osi_clp/Clp/src/ClpPackedMatrix.cpp
ClpPdco.cpp,2.41,307773440,dependencies/osi_clp/Clp/src/ClpPdco.cpp
tbmr.cpp,3.79,546390016,openMVG/features/tbmr/tbmr.cpp
CoinPresolveEmpty.cpp,1.07,234618880,dependencies/osi_clp/CoinUtils/src/CoinPresolveEmpty.cpp
CoinPresolveDupcol.cpp,2.13,270925824,dependencies/osi_clp/CoinUtils/src/CoinPresolveDupcol.cpp
ClpPlusMinusOneMatrix.cpp,2.18,269615104,dependencies/osi_clp/Clp/src/ClpPlusMinusOneMatrix.cpp
CoinPresolveFixed.cpp,1.01,234209280,dependencies/osi_clp/CoinUtils/src/CoinPresolveFixed.cpp
ClpPredictorCorrector.cpp,1.82,267321344,dependencies/osi_clp/Clp/src/ClpPredictorCorrector.cpp
CoinPresolveForcing.cpp,0.87,228524032,dependencies/osi_clp/CoinUtils/src/CoinPresolveForcing.cpp
algorithm.cpp,2.82,504922112,openMVG/matching/kvld/algorithm.cpp
CoinPresolveHelperFunctions.cpp,0.89,226689024,dependencies/osi_clp/CoinUtils/src/CoinPresolveHelperFunctions.cpp
ClpPrimalColumnDantzig.cpp,0.78,224444416,dependencies/osi_clp/Clp/src/ClpPrimalColumnDantzig.cpp
kvld.cpp,4.69,606126080,openMVG/matching/kvld/kvld.cpp
CoinPresolveImpliedFree.cpp,1.34,255770624,dependencies/osi_clp/CoinUtils/src/CoinPresolveImpliedFree.cpp
CoinPresolveIsolated.cpp,0.74,219348992,dependencies/osi_clp/CoinUtils/src/CoinPresolveIsolated.cpp
ClpPresolve.cpp,2.75,314392576,dependencies/osi_clp/Clp/src/ClpPresolve.cpp
ClpPrimalColumnPivot.cpp,0.69,204210176,dependencies/osi_clp/Clp/src/ClpPrimalColumnPivot.cpp
CoinPresolveMatrix.cpp,1.01,232636416,dependencies/osi_clp/CoinUtils/src/CoinPresolveMatrix.cpp
Pair_Builder_test.cpp,3.70,536412160,openMVG/matching_image_collection/Pair_Builder_test.cpp
poly_test.cpp,2.78,503119872,openMVG/numeric/poly_test.cpp
Linker/,0.02,21692416,Linker/
Linker/,0.01,21741568,Linker/
CoinPresolveMonitor.cpp,1.33,249872384,dependencies/osi_clp/CoinUtils/src/CoinPresolveMonitor.cpp
ClpQuadraticObjective.cpp,1.38,249167872,dependencies/osi_clp/Clp/src/ClpQuadraticObjective.cpp
CoinPresolvePsdebug.cpp,0.71,186417152,dependencies/osi_clp/CoinUtils/src/CoinPresolvePsdebug.cpp
ClpPrimalColumnSteepest.cpp,2.27,277610496,dependencies/osi_clp/Clp/src/ClpPrimalColumnSteepest.cpp
CoinPresolveSingleton.cpp,1.12,243974144,dependencies/osi_clp/CoinUtils/src/CoinPresolveSingleton.cpp
CoinPresolveSubst.cpp,1.27,246071296,dependencies/osi_clp/CoinUtils/src/CoinPresolveSubst.cpp
CoinPresolveTighten.cpp,0.83,225263616,dependencies/osi_clp/CoinUtils/src/CoinPresolveTighten.cpp
numeric_test.cpp,4.09,585367552,openMVG/numeric/numeric_test.cpp
Linker/,0.02,21692416,Linker/
CoinPresolveTripleton.cpp,1.20,240386048,dependencies/osi_clp/CoinUtils/src/CoinPresolveTripleton.cpp
CoinPresolveUseless.cpp,0.99,239009792,dependencies/osi_clp/CoinUtils/src/CoinPresolveUseless.cpp
ClpSimplex.cpp,6.18,362528768,dependencies/osi_clp/Clp/src/ClpSimplex.cpp
CoinPresolveZeros.cpp,0.84,225345536,dependencies/osi_clp/CoinUtils/src/CoinPresolveZeros.cpp
CoinRational.cpp,0.23,131088384,dependencies/osi_clp/CoinUtils/src/CoinRational.cpp
ClpSimplexDual.cpp,2.85,295403520,dependencies/osi_clp/Clp/src/ClpSimplexDual.cpp
CoinSearchTree.cpp,0.81,210714624,dependencies/osi_clp/CoinUtils/src/CoinSearchTree.cpp
CoinShallowPackedVector.cpp,0.74,203341824,dependencies/osi_clp/CoinUtils/src/CoinShallowPackedVector.cpp
l1_solver_test.cpp,14.16,1013301248,openMVG/numeric/l1_solver_test.cpp
Linker/,0.02,21741568,Linker/
extract_columns_test.cpp,3.47,531070976,openMVG/numeric/extract_columns_test.cpp
Linker/,0.01,21741568,Linker/
CoinSimpFactorization.cpp,1.91,241270784,dependencies/osi_clp/CoinUtils/src/CoinSimpFactorization.cpp
ClpSimplexNonlinear.cpp,3.39,309723136,dependencies/osi_clp/Clp/src/ClpSimplexNonlinear.cpp
CoinSnapshot.cpp,0.78,212959232,dependencies/osi_clp/CoinUtils/src/CoinSnapshot.cpp
CoinStructuredModel.cpp,2.44,291880960,dependencies/osi_clp/CoinUtils/src/CoinStructuredModel.cpp
rand_sampling_test.cpp,3.14,520388608,openMVG/robust_estimation/rand_sampling_test.cpp
Linker/,0.02,21741568,Linker/
rigid_transformation3D_srt_test.cpp,29.27,1690697728,openMVG/geometry/rigid_transformation3D_srt_test.cpp
Linker/,0.02,21692416,Linker/
CoinWarmStartDual.cpp,0.78,203931648,dependencies/osi_clp/CoinUtils/src/CoinWarmStartDual.cpp
CoinWarmStartBasis.cpp,1.19,219627520,dependencies/osi_clp/CoinUtils/src/CoinWarmStartBasis.cpp
ClpSimplexOther.cpp,5.72,349995008,dependencies/osi_clp/Clp/src/ClpSimplexOther.cpp
lm_test.cpp,17.49,1231175680,openMVG/numeric/lm_test.cpp
Linker/,0.02,21741568,Linker/
CoinWarmStartPrimalDual.cpp,0.80,202915840,dependencies/osi_clp/CoinUtils/src/CoinWarmStartPrimalDual.cpp
CoinWarmStartVector.cpp,0.01,34160640,dependencies/osi_clp/CoinUtils/src/CoinWarmStartVector.cpp
ClpSimplexPrimal.cpp,2.37,284803072,dependencies/osi_clp/Clp/src/ClpSimplexPrimal.cpp
ClpSolve.cpp,4.88,350896128,dependencies/osi_clp/Clp/src/ClpSolve.cpp
tracks_test.cpp,4.70,650690560,openMVG/tracks/tracks_test.cpp
Linker/,0.02,21741568,Linker/
Clp_C_Interface.cpp,1.28,243695616,dependencies/osi_clp/Clp/src/Clp_C_Interface.cpp
IdiSolve.cpp,1.85,271515648,dependencies/osi_clp/Clp/src/IdiSolve.cpp
split_test.cpp,3.00,497106944,openMVG/stl/split_test.cpp
Linker/,0.02,21741568,Linker/
MyEventHandler.cpp,0.67,207192064,dependencies/osi_clp/Clp/src/MyEventHandler.cpp
Idiot.cpp,2.56,290504704,dependencies/osi_clp/Clp/src/Idiot.cpp
MyMessageHandler.cpp,1.38,257179648,dependencies/osi_clp/Clp/src/MyMessageHandler.cpp
robust_estimator_ACRansac_test.cpp,19.20,1215905792,openMVG/robust_estimation/robust_estimator_ACRansac_test.cpp
Linker/,0.02,21741568,Linker/
